time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-26 00:00:00+00:00,17,9,97,43
2025-06-27 00:00:00+00:00,11,3,66,38
2025-06-28 00:00:00+00:00,15,9,55,26
2025-06-29 00:00:00+00:00,16,6,29,21
2025-06-30 00:00:00+00:00,16,10,31,24
2025-07-01 00:00:00+00:00,10,4,56,41
2025-07-02 00:00:00+00:00,15,7,44,31
2025-07-03 00:00:00+00:00,14,6,37,29
2025-07-04 00:00:00+00:00,19,10,25,17
2025-07-05 00:00:00+00:00,11,5,20,16
2025-07-06 00:00:00+00:00,15,9,30,16
2025-07-07 00:00:00+00:00,12,6,30,25
2025-07-08 00:00:00+00:00,17,11,31,22
2025-07-09 00:00:00+00:00,3,3,30,16
