time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-28 00:00:00+00:00,0,0,11,8
2023-03-29 00:00:00+00:00,3,2,34,25
2023-03-30 00:00:00+00:00,4,4,135,63
2023-03-31 00:00:00+00:00,12,7,105,51
2023-04-01 00:00:00+00:00,5,4,201,106
2023-04-02 00:00:00+00:00,3,3,125,76
2023-04-03 00:00:00+00:00,1,1,183,87
2023-04-04 00:00:00+00:00,6,4,119,55
2023-04-05 00:00:00+00:00,4,3,140,53
2023-04-06 00:00:00+00:00,2,2,265,168
2023-04-07 00:00:00+00:00,2,2,120,39
2023-04-08 00:00:00+00:00,0,0,29,22
2023-04-09 00:00:00+00:00,2,2,40,16
2023-04-10 00:00:00+00:00,5,4,75,18
2023-04-11 00:00:00+00:00,13,9,130,24
2023-04-12 00:00:00+00:00,6,4,141,30
2023-04-13 00:00:00+00:00,7,6,92,29
2023-04-14 00:00:00+00:00,9,7,93,36
2023-04-15 00:00:00+00:00,3,3,32,17
2023-04-16 00:00:00+00:00,3,3,21,13
2023-04-17 00:00:00+00:00,2,2,79,26
2023-04-18 00:00:00+00:00,17,9,58,32
2023-04-19 00:00:00+00:00,10,7,200,67
2023-04-20 00:00:00+00:00,6,5,87,41
2023-04-21 00:00:00+00:00,28,12,125,38
2023-04-22 00:00:00+00:00,10,6,92,22
2023-04-23 00:00:00+00:00,4,3,42,17
2023-04-24 00:00:00+00:00,14,10,187,43
2023-04-25 00:00:00+00:00,18,10,139,53
2023-04-26 00:00:00+00:00,17,8,355,146
2023-04-27 00:00:00+00:00,5,4,518,323
2023-04-28 00:00:00+00:00,14,8,348,128
2023-04-29 00:00:00+00:00,6,5,74,33
2023-04-30 00:00:00+00:00,5,4,53,33
2023-05-01 00:00:00+00:00,9,6,109,69
2023-05-02 00:00:00+00:00,13,6,226,70
2023-05-03 00:00:00+00:00,12,6,158,46
2023-05-04 00:00:00+00:00,18,10,166,64
2023-05-05 00:00:00+00:00,5,4,87,37
2023-05-06 00:00:00+00:00,16,10,81,24
2023-05-07 00:00:00+00:00,10,9,52,19
2023-05-08 00:00:00+00:00,33,14,166,49
2023-05-09 00:00:00+00:00,15,6,130,48
2023-05-10 00:00:00+00:00,6,5,163,30
2023-05-11 00:00:00+00:00,5,4,43,25
2023-05-12 00:00:00+00:00,4,3,59,39
2023-05-13 00:00:00+00:00,3,2,32,20
2023-05-14 00:00:00+00:00,6,4,44,20
2023-05-15 00:00:00+00:00,14,10,68,26
2023-05-16 00:00:00+00:00,13,9,81,27
2023-05-17 00:00:00+00:00,17,9,60,28
2023-05-18 00:00:00+00:00,6,5,82,28
2023-05-19 00:00:00+00:00,5,4,27,18
2023-05-20 00:00:00+00:00,8,7,13,13
2023-05-21 00:00:00+00:00,3,2,55,9
2023-05-22 00:00:00+00:00,14,7,29,24
2023-05-23 00:00:00+00:00,9,7,84,23
2023-05-24 00:00:00+00:00,8,7,47,22
2023-05-25 00:00:00+00:00,7,7,24,17
2023-05-26 00:00:00+00:00,2,2,77,31
2023-05-27 00:00:00+00:00,2,2,11,8
2023-05-28 00:00:00+00:00,6,5,36,33
2023-05-29 00:00:00+00:00,4,4,56,25
2023-05-30 00:00:00+00:00,3,3,143,18
2023-05-31 00:00:00+00:00,11,8,72,16
2023-06-01 00:00:00+00:00,6,6,29,16
2023-06-02 00:00:00+00:00,12,5,29,16
2023-06-03 00:00:00+00:00,7,5,11,9
2023-06-04 00:00:00+00:00,2,2,19,9
2023-06-05 00:00:00+00:00,4,4,135,13
2023-06-06 00:00:00+00:00,3,3,34,14
2023-06-07 00:00:00+00:00,16,11,467,196
2023-06-08 00:00:00+00:00,9,6,1339,575
2023-06-09 00:00:00+00:00,5,5,1314,662
2023-06-10 00:00:00+00:00,4,4,341,177
2023-06-11 00:00:00+00:00,2,2,308,125
2023-06-12 00:00:00+00:00,13,9,538,232
2023-06-13 00:00:00+00:00,10,8,1292,578
2023-06-14 00:00:00+00:00,6,6,1134,500
2023-06-15 00:00:00+00:00,9,7,391,151
2023-06-16 00:00:00+00:00,7,6,335,106
2023-06-17 00:00:00+00:00,2,2,157,60
2023-06-18 00:00:00+00:00,2,2,134,57
2023-06-19 00:00:00+00:00,8,8,434,129
2023-06-20 00:00:00+00:00,13,8,250,100
2023-06-21 00:00:00+00:00,15,9,334,113
2023-06-22 00:00:00+00:00,8,6,293,127
2023-06-23 00:00:00+00:00,9,5,176,69
2023-06-24 00:00:00+00:00,4,4,70,32
2023-06-25 00:00:00+00:00,2,2,52,40
2023-06-26 00:00:00+00:00,14,12,161,53
2023-06-27 00:00:00+00:00,8,6,137,44
2023-06-28 00:00:00+00:00,6,5,565,236
2023-06-29 00:00:00+00:00,3,3,537,231
2023-06-30 00:00:00+00:00,13,9,727,311
2023-07-01 00:00:00+00:00,5,4,184,74
2023-07-02 00:00:00+00:00,3,3,315,57
2023-07-03 00:00:00+00:00,13,9,299,74
2023-07-04 00:00:00+00:00,3,3,236,80
2023-07-05 00:00:00+00:00,11,9,144,61
2023-07-06 00:00:00+00:00,4,4,152,63
2023-07-07 00:00:00+00:00,8,7,137,41
2023-07-08 00:00:00+00:00,3,3,113,35
2023-07-09 00:00:00+00:00,3,3,93,30
2023-07-10 00:00:00+00:00,10,9,135,60
2023-07-11 00:00:00+00:00,11,10,2469,1274
2023-07-12 00:00:00+00:00,6,6,2322,972
